"Sujeito";"Predicado";"Objeto"
"/index.php/Abelar_Hightower";"Title";"/index.php/Knight"
"/index.php/Abelar_Hightower";"Title";"Ser"
"/index.php/Abelar_Hightower";"Allegiance";"/index.php/House_Hightower"
"/index.php/Abelar_Hightower";"Allegiance";"House Hightower"
"/index.php/Abelar_Hightower";"Book(s)";"/index.php/The_Hedge_Knight"
"/index.php/Abelar_Hightower";"Book(s)";"The Hedge Knight (Appears)"
"/index.php/Abelar_Hightower";"name";"Abelar Hightower"
"/index.php/Addam";"Title";"/index.php/Knight"
"/index.php/Addam";"Title";"Ser"
"/index.php/Addam";"Book(s)";"/index.php/The_Mystery_Knight"
"/index.php/Addam";"Book(s)";"The Mystery Knight (mentioned)"
"/index.php/Addam";"name";"Addam"
"/index.php/Addam_Frey";"Title";"/index.php/Knight"
"/index.php/Addam_Frey";"Title";"Ser"
"/index.php/Addam_Frey";"Allegiance";"/index.php/House_Frey"
"/index.php/Addam_Frey";"Allegiance";"House Frey"
"/index.php/Addam_Frey";"Book(s)";"/index.php/The_Mystery_Knight"
"/index.php/Addam_Frey";"Book(s)";"The Mystery Knight (Appears)"
"/index.php/Addam_Frey";"name";"Addam Frey"
"/index.php/Addam_Marbrand";"Title";"/index.php/Knight"
"/index.php/Addam_Marbrand";"Title";"/index.php/City_Watch_of_King%27s_Landing"
"/index.php/Addam_Marbrand";"Title";"Ser"
"/index.php/Addam_Marbrand";"Title";"Commander of the City Watch of King's Landing"
"/index.php/Addam_Marbrand";"Allegiance";"/index.php/House_Marbrand"
"/index.php/Addam_Marbrand";"Allegiance";"House Marbrand"
"/index.php/Addam_Marbrand";"Book(s)";"/index.php/A_Game_of_Thrones"
"/index.php/Addam_Marbrand";"Book(s)";"/index.php/A_Clash_of_Kings"
"/index.php/Addam_Marbrand";"Book(s)";"/index.php/A_Storm_of_Swords"
"/index.php/Addam_Marbrand";"Book(s)";"/index.php/A_Feast_for_Crows"
"/index.php/Addam_Marbrand";"Book(s)";"/index.php/A_Dance_with_Dragons"
"/index.php/Addam_Marbrand";"Book(s)";"A Game of Thrones (Appears)"
"/index.php/Addam_Marbrand";"Book(s)";"A Clash of Kings (Appears)"
"/index.php/Addam_Marbrand";"Book(s)";"A Storm of Swords (Appears)"
"/index.php/Addam_Marbrand";"Book(s)";"A Feast for Crows (Appears)"
"/index.php/Addam_Marbrand";"Book(s)";"A Dance with Dragons (Mentioned)"
"/index.php/Addam_Marbrand";"Played by";"B.J. Hogg"
"/index.php/Addam_Marbrand";"TV series";"/index.php/Game_of_Thrones_-_Season_1"
"/index.php/Addam_Marbrand";"TV series";"Season 1"
"/index.php/Addam_Marbrand";"name";"Addam Marbrand"
"/index.php/Addam_Osgrey";"Allegiance";"/index.php/House_Osgrey"
"/index.php/Addam_Osgrey";"Allegiance";"House Osgrey"
"/index.php/Addam_Osgrey";"Born";"In 183AC or 184AC"
"/index.php/Addam_Osgrey";"Died";"/index.php/Battle_of_the_Redgrass_Field"
"/index.php/Addam_Osgrey";"Died";"In 196AC, at Redgrass Field"
"/index.php/Addam_Osgrey";"Book(s)";"/index.php/The_Sworn_Sword"
"/index.php/Addam_Osgrey";"Book(s)";"The Sworn Sword (mentioned)"
"/index.php/Addam_Osgrey";"name";"Addam Osgrey"
"/index.php/Addam_Velaryon";"Alias";"Addam of Hull"
"/index.php/Addam_Velaryon";"Allegiance";"/index.php/House_Velaryon"
"/index.php/Addam_Velaryon";"Allegiance";"/index.php/House_Targaryen"
"/index.php/Addam_Velaryon";"Allegiance";"/index.php/The_blacks"
"/index.php/Addam_Velaryon";"Allegiance";"House Velaryon"
"/index.php/Addam_Velaryon";"Allegiance";"House Targaryen"
"/index.php/Addam_Velaryon";"Allegiance";"The blacks"
"/index.php/Addam_Velaryon";"Race";"/index.php/Valyria"
"/index.php/Addam_Velaryon";"Race";"Valyrian"
"/index.php/Addam_Velaryon";"Culture";"/index.php/Valyria"
"/index.php/Addam_Velaryon";"Culture";"Valyrian"
"/index.php/Addam_Velaryon";"Born";"/index.php/Hull"
"/index.php/Addam_Velaryon";"Born";"In 114AC, at Hull"
"/index.php/Addam_Velaryon";"Died";"/index.php/Tumbleton"
"/index.php/Addam_Velaryon";"Died";"In 130AC, at Tumbleton"
"/index.php/Addam_Velaryon";"Book(s)";"/index.php/The_Princess_and_the_Queen"
"/index.php/Addam_Velaryon";"Book(s)";"The Princess and the Queen (Mentioned)"
"/index.php/Addam_Velaryon";"name";"Addam Velaryon"
"/index.php/Addison_Hill";"Title";"/index.php/Knight"
"/index.php/Addison_Hill";"Title";"/index.php/Lord_Commander_of_the_Kingsguard"
"/index.php/Addison_Hill";"Title";"Ser"
"/index.php/Addison_Hill";"Title";"Lord Commander of the Kingsguard"
"/index.php/Addison_Hill";"Allegiance";"/index.php/Kingsguard"
"/index.php/Addison_Hill";"Allegiance";"Kingsguard"
"/index.php/Addison_Hill";"Born";"/index.php/The_Westerlands"
"/index.php/Addison_Hill";"Born";"At the Westerlands (presumably)"
"/index.php/Addison_Hill";"Book(s)";"/index.php/A_Feast_for_Crows"
"/index.php/Addison_Hill";"Book(s)";"A Feast for Crows (Mentioned)"
"/index.php/Addison_Hill";"name";"Addison Hill"
"/index.php/Aegon_Blackfyre";"Allegiance";"/index.php/House_Blackfyre"
"/index.php/Aegon_Blackfyre";"Allegiance";"House Blackfyre"
"/index.php/Aegon_Blackfyre";"Born";"In 183AC or 184AC"
"/index.php/Aegon_Blackfyre";"Died";"/index.php/Battle_of_the_Redgrass_Field"
"/index.php/Aegon_Blackfyre";"Died";"In 196AC, at Redgrass Field"
"/index.php/Aegon_Blackfyre";"Book(s)";"/index.php/The_Sworn_Sword"
"/index.php/Aegon_Blackfyre";"Book(s)";"/index.php/The_Mystery_Knight"
"/index.php/Aegon_Blackfyre";"Book(s)";"/index.php/A_Storm_of_Swords"
"/index.php/Aegon_Blackfyre";"Book(s)";"The Sworn Sword (Mentioned)"
"/index.php/Aegon_Blackfyre";"Book(s)";"The Mystery Knight (Mentioned)"
"/index.php/Aegon_Blackfyre";"Book(s)";"A Storm of Swords (Mentioned)"
"/index.php/Aegon_Blackfyre";"name";"Aegon Blackfyre"
"/index.php/Aegon_Frey_(Jinglebell)";"Alias";"Jinglebell"
"/index.php/Aegon_Frey_(Jinglebell)";"Allegiance";"/index.php/House_Frey"
"/index.php/Aegon_Frey_(Jinglebell)";"Allegiance";"House Frey"
"/index.php/Aegon_Frey_(Jinglebell)";"Born";"In or between 248AC or 249AC"
"/index.php/Aegon_Frey_(Jinglebell)";"Died";"/index.php/The_Twins"
"/index.php/Aegon_Frey_(Jinglebell)";"Died";"In 299AC, at The Twins"
"/index.php/Aegon_Frey_(Jinglebell)";"Book(s)";"/index.php/A_Clash_of_Kings"
