"Sujeito";"Predicado";"Objeto"
"/index.php/Abelar_Hightower";"titlesIs";"/index.php/Knight"
"/index.php/Abelar_Hightower";"titlesIs";"Ser"
"/index.php/Abelar_Hightower";"hasAllegianceWith";"/index.php/House_Hightower"
"/index.php/Abelar_Hightower";"hasAllegianceWith";"House Hightower"
"/index.php/Abelar_Hightower";"appearsIn";"/index.php/The_Hedge_Knight"
"/index.php/Abelar_Hightower";"appearsIn";"The Hedge Knight (Appears)"
"/index.php/Abelar_Hightower";"nameIs";"Abelar Hightower"
"/index.php/Addam";"titlesIs";"/index.php/Knight"
"/index.php/Addam";"titlesIs";"Ser"
"/index.php/Addam";"appearsIn";"/index.php/The_Mystery_Knight"
"/index.php/Addam";"appearsIn";"The Mystery Knight (mentioned)"
"/index.php/Addam";"nameIs";"Addam"
"/index.php/Addam_Frey";"titlesIs";"/index.php/Knight"
"/index.php/Addam_Frey";"titlesIs";"Ser"
"/index.php/Addam_Frey";"hasAllegianceWith";"/index.php/House_Frey"
"/index.php/Addam_Frey";"hasAllegianceWith";"House Frey"
"/index.php/Addam_Frey";"appearsIn";"/index.php/The_Mystery_Knight"
"/index.php/Addam_Frey";"appearsIn";"The Mystery Knight (Appears)"
"/index.php/Addam_Frey";"nameIs";"Addam Frey"
"/index.php/Addam_Marbrand";"titlesIs";"/index.php/Knight"
"/index.php/Addam_Marbrand";"titlesIs";"/index.php/City_Watch_of_King%27s_Landing"
"/index.php/Addam_Marbrand";"titlesIs";"Ser"
"/index.php/Addam_Marbrand";"titlesIs";"Commander of the City Watch of King's Landing"
"/index.php/Addam_Marbrand";"hasAllegianceWith";"/index.php/House_Marbrand"
"/index.php/Addam_Marbrand";"hasAllegianceWith";"House Marbrand"
"/index.php/Addam_Marbrand";"appearsIn";"/index.php/A_Game_of_Thrones"
"/index.php/Addam_Marbrand";"appearsIn";"/index.php/A_Clash_of_Kings"
"/index.php/Addam_Marbrand";"appearsIn";"/index.php/A_Storm_of_Swords"
"/index.php/Addam_Marbrand";"appearsIn";"/index.php/A_Feast_for_Crows"
"/index.php/Addam_Marbrand";"appearsIn";"/index.php/A_Dance_with_Dragons"
"/index.php/Addam_Marbrand";"appearsIn";"A Game of Thrones (Appears)"
"/index.php/Addam_Marbrand";"appearsIn";"A Clash of Kings (Appears)"
"/index.php/Addam_Marbrand";"appearsIn";"A Storm of Swords (Appears)"
"/index.php/Addam_Marbrand";"appearsIn";"A Feast for Crows (Appears)"
"/index.php/Addam_Marbrand";"appearsIn";"A Dance with Dragons (Mentioned)"
"/index.php/Addam_Marbrand";"Played by";"B.J. Hogg"
"/index.php/Addam_Marbrand";"appearsInSeason";"/index.php/Game_of_Thrones_-_Season_1"
"/index.php/Addam_Marbrand";"appearsInSeason";"Season 1"
"/index.php/Addam_Marbrand";"nameIs";"Addam Marbrand"
"/index.php/Addam_Osgrey";"hasAllegianceWith";"/index.php/House_Osgrey"
"/index.php/Addam_Osgrey";"hasAllegianceWith";"House Osgrey"
"/index.php/Addam_Osgrey";"bornIn";"In 183AC or 184AC"
"/index.php/Addam_Osgrey";"diedIn";"/index.php/Battle_of_the_Redgrass_Field"
"/index.php/Addam_Osgrey";"diedIn";"In 196AC, at Redgrass Field"
"/index.php/Addam_Osgrey";"appearsIn";"/index.php/The_Sworn_Sword"
"/index.php/Addam_Osgrey";"appearsIn";"The Sworn Sword (mentioned)"
"/index.php/Addam_Osgrey";"nameIs";"Addam Osgrey"
"/index.php/Addam_Velaryon";"hasAlias";"Addam of Hull"
"/index.php/Addam_Velaryon";"hasAllegianceWith";"/index.php/House_Velaryon"
"/index.php/Addam_Velaryon";"hasAllegianceWith";"/index.php/House_Targaryen"
"/index.php/Addam_Velaryon";"hasAllegianceWith";"/index.php/The_blacks"
"/index.php/Addam_Velaryon";"hasAllegianceWith";"House Velaryon"
"/index.php/Addam_Velaryon";"hasAllegianceWith";"House Targaryen"
"/index.php/Addam_Velaryon";"hasAllegianceWith";"The blacks"
"/index.php/Addam_Velaryon";"hasRace";"/index.php/Valyria"
"/index.php/Addam_Velaryon";"hasRace";"Valyrian"
"/index.php/Addam_Velaryon";"Culture";"/index.php/Valyria"
"/index.php/Addam_Velaryon";"Culture";"Valyrian"
"/index.php/Addam_Velaryon";"bornIn";"/index.php/Hull"
"/index.php/Addam_Velaryon";"bornIn";"In 114AC, at Hull"
"/index.php/Addam_Velaryon";"diedIn";"/index.php/Tumbleton"
"/index.php/Addam_Velaryon";"diedIn";"In 130AC, at Tumbleton"
"/index.php/Addam_Velaryon";"appearsIn";"/index.php/The_Princess_and_the_Queen"
"/index.php/Addam_Velaryon";"appearsIn";"The Princess and the Queen (Mentioned)"
"/index.php/Addam_Velaryon";"nameIs";"Addam Velaryon"
"/index.php/Addison_Hill";"titlesIs";"/index.php/Knight"
"/index.php/Addison_Hill";"titlesIs";"/index.php/Lord_Commander_of_the_Kingsguard"
"/index.php/Addison_Hill";"titlesIs";"Ser"
"/index.php/Addison_Hill";"titlesIs";"Lord Commander of the Kingsguard"
"/index.php/Addison_Hill";"hasAllegianceWith";"/index.php/Kingsguard"
"/index.php/Addison_Hill";"hasAllegianceWith";"Kingsguard"
"/index.php/Addison_Hill";"bornIn";"/index.php/The_Westerlands"
"/index.php/Addison_Hill";"bornIn";"At the Westerlands (presumably)"
"/index.php/Addison_Hill";"appearsIn";"/index.php/A_Feast_for_Crows"
"/index.php/Addison_Hill";"appearsIn";"A Feast for Crows (Mentioned)"
"/index.php/Addison_Hill";"nameIs";"Addison Hill"
"/index.php/Aegon_Blackfyre";"hasAllegianceWith";"/index.php/House_Blackfyre"
"/index.php/Aegon_Blackfyre";"hasAllegianceWith";"House Blackfyre"
"/index.php/Aegon_Blackfyre";"bornIn";"In 183AC or 184AC"
"/index.php/Aegon_Blackfyre";"diedIn";"/index.php/Battle_of_the_Redgrass_Field"
"/index.php/Aegon_Blackfyre";"diedIn";"In 196AC, at Redgrass Field"
"/index.php/Aegon_Blackfyre";"appearsIn";"/index.php/The_Sworn_Sword"
"/index.php/Aegon_Blackfyre";"appearsIn";"/index.php/The_Mystery_Knight"
"/index.php/Aegon_Blackfyre";"appearsIn";"/index.php/A_Storm_of_Swords"
"/index.php/Aegon_Blackfyre";"appearsIn";"The Sworn Sword (Mentioned)"
"/index.php/Aegon_Blackfyre";"appearsIn";"The Mystery Knight (Mentioned)"
"/index.php/Aegon_Blackfyre";"appearsIn";"A Storm of Swords (Mentioned)"
"/index.php/Aegon_Blackfyre";"nameIs";"Aegon Blackfyre"
"/index.php/Aegon_Frey_(Jinglebell)";"hasAlias";"Jinglebell"
"/index.php/Aegon_Frey_(Jinglebell)";"hasAllegianceWith";"/index.php/House_Frey"
"/index.php/Aegon_Frey_(Jinglebell)";"hasAllegianceWith";"House Frey"
"/index.php/Aegon_Frey_(Jinglebell)";"bornIn";"In or between 248AC or 249AC"
"/index.php/Aegon_Frey_(Jinglebell)";"diedIn";"/index.php/The_Twins"
"/index.php/Aegon_Frey_(Jinglebell)";"diedIn";"In 299AC, at The Twins"
"/index.php/Aegon_Frey_(Jinglebell)";"appearsIn";"/index.php/A_Clash_of_Kings"
"/index.php/Aegon_Frey_(Jinglebell)";"appearsIn";"/index.php/A_Storm_of_Swords"
"/index.php/Aegon_Frey_(Jinglebell)";"appearsIn";"/index.php/A_Feast_for_Crows"
"/index.php/Aegon_Frey_(Jinglebell)";"appearsIn";"A Clash of Kings (Mentioned)"
"/index.php/Aegon_Frey_(Jinglebell)";"appearsIn";"A Storm of Swords (Appears)"
"/index.php/Aegon_Frey_(Jinglebell)";"appearsIn";"A Feast for Crows (Mentioned)"
"/index.php/Aegon_Frey_(Jinglebell)";"nameIs";"Aegon Frey (Jinglebell)"
"/index.php/Aegon_Frey_(Bloodborn)";"hasAlias";"Aegon Bloodborn"
"/index.php/Aegon_Frey_(Bloodborn)";"hasAllegianceWith";"/index.php/House_Frey"
"/index.php/Aegon_Frey_(Bloodborn)";"hasAllegianceWith";"House Frey"
"/index.php/Aegon_Frey_(Bloodborn)";"bornIn";"In or between 253AC and 272AC"
