"Sujeito";"Classe";"Predicado";"Objeto"
"/index.php/A_Clash_of_Kings";"BOOK";"authorIs";"George R. R. Martin"
"/index.php/A_Clash_of_Kings";"BOOK";"followedBy";"A Storm of Swords"
"/index.php/A_Clash_of_Kings";"BOOK";"hasGenre";"Fantasy"
"/index.php/A_Clash_of_Kings";"BOOK";"hasISBN";"ISBN 0-00-224585-X (UK Hardback), ISBN 0-553-10803-4 (US Hardback), ISBN 0-553-57990-8 (US Paperback)"
"/index.php/A_Clash_of_Kings";"BOOK";"nameIs";"A Clash of Kings"
"/index.php/A_Clash_of_Kings";"BOOK";"pages";"708 (UK Hardback), 768 (US Hardback), 1009 (US Paperback)"
"/index.php/A_Clash_of_Kings";"BOOK";"precededBy";"/index.php/A_Game_of_Thrones"
"/index.php/A_Clash_of_Kings";"BOOK";"publisherIs";"Bantam Books (US) & Voyager Books (UK)"
"/index.php/A_Clash_of_Kings";"BOOK";"wasReleased";"November 1998 (UK) & March 1999 (US)"
"/index.php/A_Dance_with_Dragons";"BOOK";"authorIs";"George R. R. Martin"
"/index.php/A_Dance_with_Dragons";"BOOK";"followedBy";"The Winds of Winter (forthcoming)"
"/index.php/A_Dance_with_Dragons";"BOOK";"hasGenre";"Fantasy Novel"
"/index.php/A_Dance_with_Dragons";"BOOK";"hasISBN";"ISBN 0-553-80147-3 (978-0553801477)"
"/index.php/A_Dance_with_Dragons";"BOOK";"nameIs";"A Dance with Dragons"
"/index.php/A_Dance_with_Dragons";"BOOK";"pages";"1040 pp (US Hardcover)"
"/index.php/A_Dance_with_Dragons";"BOOK";"precededBy";"/index.php/A_Feast_for_Crows"
"/index.php/A_Dance_with_Dragons";"BOOK";"publisherIs";"Voyager Books (UK) & Spectra Books (USA)"
"/index.php/A_Dance_with_Dragons";"BOOK";"wasReleased";"July, 17, 2011"
"/index.php/A_Dream_of_Spring";"BOOK";"authorIs";"George R. R. Martin"
"/index.php/A_Dream_of_Spring";"BOOK";"followedBy";"None."
"/index.php/A_Dream_of_Spring";"BOOK";"hasGenre";"Fantasy"
"/index.php/A_Dream_of_Spring";"BOOK";"nameIs";"A Dream of Spring"
"/index.php/A_Dream_of_Spring";"BOOK";"pages";"Unknown"
"/index.php/A_Dream_of_Spring";"BOOK";"precededBy";"/index.php/The_Winds_of_Winter"
"/index.php/A_Dream_of_Spring";"BOOK";"publisherIs";"Unknown"
"/index.php/A_Dream_of_Spring";"BOOK";"wasReleased";"Unknown"
"/index.php/A_Feast_For_Crows";"BOOK";"authorIs";"George R. R. Martin"
"/index.php/A_Feast_For_Crows";"BOOK";"followedBy";"A Dance with Dragons"
"/index.php/A_Feast_For_Crows";"BOOK";"hasGenre";"Fantasy novel"
"/index.php/A_Feast_For_Crows";"BOOK";"hasISBN";"ISBN 0-553-80150-3 (US Hardback), ISBN 0-00-224743-7 (UK Hardback), ISBN 0-553-58202-X (US Paperback)"
"/index.php/A_Feast_For_Crows";"BOOK";"pages";"753 (US Hardback), 704 (UK Hardback), 1104 (US Paperback)"
"/index.php/A_Feast_For_Crows";"BOOK";"precededBy";"/index.php/A_Storm_of_Swords"
"/index.php/A_Feast_For_Crows";"BOOK";"publisherIs";"Voyager Books (UK) & Bantam Books (US)"
"/index.php/A_Feast_For_Crows";"BOOK";"wasReleased";"17 October 2005 (UK) & 8 November 2005 (US)"
"/index.php/A_Feast_for_Crows";"BOOK";"authorIs";"George R. R. Martin"
"/index.php/A_Feast_for_Crows";"BOOK";"followedBy";"A Dance with Dragons"
"/index.php/A_Feast_for_Crows";"BOOK";"hasGenre";"Fantasy novel"
"/index.php/A_Feast_for_Crows";"BOOK";"hasISBN";"ISBN 0-553-80150-3 (US Hardback), ISBN 0-00-224743-7 (UK Hardback), ISBN 0-553-58202-X (US Paperback)"
"/index.php/A_Feast_for_Crows";"BOOK";"nameIs";"A Feast for Crows"
"/index.php/A_Feast_for_Crows";"BOOK";"pages";"753 (US Hardback), 704 (UK Hardback), 1104 (US Paperback)"
"/index.php/A_Feast_for_Crows";"BOOK";"precededBy";"/index.php/A_Storm_of_Swords"
"/index.php/A_Feast_for_Crows";"BOOK";"publisherIs";"Voyager Books (UK) & Bantam Books (US)"
"/index.php/A_Feast_for_Crows";"BOOK";"wasReleased";"17 October 2005 (UK) & 8 November 2005 (US)"
"/index.php/A_Game_of_Thrones";"BOOK";"authorIs";"George R. R. Martin"
"/index.php/A_Game_of_Thrones";"BOOK";"followedBy";"A Clash of Kings"
"/index.php/A_Game_of_Thrones";"BOOK";"hasGenre";"Fantasy"
"/index.php/A_Game_of_Thrones";"BOOK";"hasISBN";"ISBN 0002245841 (UK Hardback)"
"/index.php/A_Game_of_Thrones";"BOOK";"hasISBN";"ISBN 000647988X (UK Paperback)"
"/index.php/A_Game_of_Thrones";"BOOK";"hasISBN";"ISBN 0553103547 (US Hardback)"
"/index.php/A_Game_of_Thrones";"BOOK";"hasISBN";"ISBN 0553573403 (US Paperback)"
"/index.php/A_Game_of_Thrones";"BOOK";"nameIs";"A Game of Thrones"
"/index.php/A_Game_of_Thrones";"BOOK";"pages";"672 (UK Hardcover)"
"/index.php/A_Game_of_Thrones";"BOOK";"pages";"694 (US Hardback)"
"/index.php/A_Game_of_Thrones";"BOOK";"pages";"804 (UK Paperback)"
"/index.php/A_Game_of_Thrones";"BOOK";"pages";"835 (US Paperback)"
"/index.php/A_Game_of_Thrones";"BOOK";"publisherIs";"Bantam Books (US)"
"/index.php/A_Game_of_Thrones";"BOOK";"publisherIs";"Voyager Books (UK)"
"/index.php/A_Game_of_Thrones";"BOOK";"wasReleased";"6 August 1996"
"/index.php/A_Game_of_Thrones_(game)";"BOOK";"hasGenre";"Fantasy"
"/index.php/A_Game_of_Thrones_(game)";"BOOK";"hasISBN";"Serial-numbered edition ISBN 1-58846-941-7"
"/index.php/A_Game_of_Thrones_(game)";"BOOK";"hasISBN";"Standard Edition ISBN 1-58846-942-5"
"/index.php/A_Game_of_Thrones_(game)";"BOOK";"nameIs";"A Game of Thrones (game)"
"/index.php/A_Game_of_Thrones_(game)";"BOOK";"pages";"578 (Deluxe Limited Edition)"
"/index.php/A_Game_of_Thrones_(game)";"BOOK";"publisherIs";"Guardians of Order (US)"
"/index.php/A_Game_of_Thrones_(game)";"BOOK";"wasReleased";"2005 (US)"
"/index.php/A_Song_of_Ice_and_Fire";"BOOK";"authorIs";"George R. R. Martin"
"/index.php/A_Song_of_Ice_and_Fire";"BOOK";"hasGenre";"High fantasy, Dark fantasy, Medieval fantasy"
"/index.php/A_Song_of_Ice_and_Fire";"BOOK";"nameIs";"A Song of Ice and Fire"
"/index.php/A_Storm_of_Swords";"BOOK";"authorIs";"George R. R. Martin"
"/index.php/A_Storm_of_Swords";"BOOK";"followedBy";"A Feast for Crows"
"/index.php/A_Storm_of_Swords";"BOOK";"hasGenre";"Fantasy"
"/index.php/A_Storm_of_Swords";"BOOK";"hasISBN";"ISBN 0-553-10663-5 (US Hardback), ISBN 0-00-224586-8 (UK Hardback), ISBN 0-553-57342-X (US Paperback). As noted in the main text, UK Paperback editions separate the book into Steel and Snow (ISBN 0006479901) and Blood and Gold (ISBN 0007119550)."
"/index.php/A_Storm_of_Swords";"BOOK";"nameIs";"A Storm of Swords"
"/index.php/A_Storm_of_Swords";"BOOK";"pages";"973 (US Hardback), 976 (UK Hardback), 1216 (US Paperback)"
"/index.php/A_Storm_of_Swords";"BOOK";"precededBy";"/index.php/A_Clash_of_Kings"
"/index.php/A_Storm_of_Swords";"BOOK";"publisherIs";"Bantam Books (US) & Voyager Books (UK)"
"/index.php/A_Storm_of_Swords";"BOOK";"wasReleased";"August 2000 (UK) & November 2000 (US)"
"/index.php/Abelar_Hightower";"CHARACTER";"appearsIn";"/index.php/The_Hedge_Knight"
"/index.php/Abelar_Hightower";"CHARACTER";"hasAllegianceWith";"/index.php/House_Hightower"
"/index.php/Abelar_Hightower";"CHARACTER";"nameIs";"Abelar Hightower"
"/index.php/Abelar_Hightower";"CHARACTER";"titlesIs";"Ser"
"/index.php/Addam";"CHARACTER";"appearsIn";"/index.php/The_Mystery_Knight"
"/index.php/Addam";"CHARACTER";"nameIs";"Addam"
"/index.php/Addam";"CHARACTER";"titlesIs";"Ser"
"/index.php/Addam_Frey";"CHARACTER";"appearsIn";"/index.php/The_Mystery_Knight"
"/index.php/Addam_Frey";"CHARACTER";"hasAllegianceWith";"/index.php/House_Frey"
"/index.php/Addam_Frey";"CHARACTER";"nameIs";"Addam Frey"
"/index.php/Addam_Frey";"CHARACTER";"titlesIs";"Ser"
"/index.php/Addam_Marbrand";"CHARACTER";"appearsIn";"/index.php/A_Clash_of_Kings"
"/index.php/Addam_Marbrand";"CHARACTER";"appearsIn";"/index.php/A_Dance_with_Dragons"
"/index.php/Addam_Marbrand";"CHARACTER";"appearsIn";"/index.php/A_Feast_for_Crows"
"/index.php/Addam_Marbrand";"CHARACTER";"appearsIn";"/index.php/A_Game_of_Thrones"
"/index.php/Addam_Marbrand";"CHARACTER";"appearsIn";"/index.php/A_Storm_of_Swords"
"/index.php/Addam_Marbrand";"CHARACTER";"appearsInSeason";"Season 1"
"/index.php/Addam_Marbrand";"CHARACTER";"hasAllegianceWith";"/index.php/House_Marbrand"
"/index.php/Addam_Marbrand";"CHARACTER";"nameIs";"Addam Marbrand"
"/index.php/Addam_Marbrand";"CHARACTER";"playedBy";"B.J. Hogg"
"/index.php/Addam_Marbrand";"CHARACTER";"titlesIs";"Commander of the City Watch of King's Landing"
"/index.php/Addam_Marbrand";"CHARACTER";"titlesIs";"Ser"
"/index.php/Addam_Osgrey";"CHARACTER";"appearsIn";"/index.php/The_Sworn_Sword"
"/index.php/Addam_Osgrey";"CHARACTER";"bornIn";"In 183AC or 184AC"
"/index.php/Addam_Osgrey";"CHARACTER";"diedIn";"In 196AC, at Redgrass Field"
"/index.php/Addam_Osgrey";"CHARACTER";"hasAllegianceWith";"/index.php/House_Osgrey"
"/index.php/Addam_Osgrey";"CHARACTER";"nameIs";"Addam Osgrey"
"/index.php/Addam_Velaryon";"CHARACTER";"appearsIn";"/index.php/The_Princess_and_the_Queen"
"/index.php/Addam_Velaryon";"CHARACTER";"bornIn";"In 114AC, at Hull"
"/index.php/Addam_Velaryon";"CHARACTER";"diedIn";"In 130AC, at Tumbleton"
"/index.php/Addam_Velaryon";"CHARACTER";"hasAlias";"Addam of Hull"
"/index.php/Addam_Velaryon";"CHARACTER";"hasAllegianceWith";"/index.php/House_Targaryen"
"/index.php/Addam_Velaryon";"CHARACTER";"hasAllegianceWith";"/index.php/House_Velaryon"
"/index.php/Addam_Velaryon";"CHARACTER";"hasCulture";"Valyrian"
"/index.php/Addam_Velaryon";"CHARACTER";"hasRace";"Valyrian"
"/index.php/Addam_Velaryon";"CHARACTER";"nameIs";"Addam Velaryon"
"/index.php/Addison_Hill";"CHARACTER";"appearsIn";"/index.php/A_Feast_for_Crows"
"/index.php/Addison_Hill";"CHARACTER";"bornIn";"At the Westerlands (presumably)"
"/index.php/Addison_Hill";"CHARACTER";"nameIs";"Addison Hill"
"/index.php/Addison_Hill";"CHARACTER";"titlesIs";"Lord Commander of the Kingsguard"
"/index.php/Addison_Hill";"CHARACTER";"titlesIs";"Ser"
"/index.php/Aegon_Blackfyre";"CHARACTER";"appearsIn";"/index.php/A_Storm_of_Swords"
"/index.php/Aegon_Blackfyre";"CHARACTER";"appearsIn";"/index.php/The_Mystery_Knight"
"/index.php/Aegon_Blackfyre";"CHARACTER";"appearsIn";"/index.php/The_Sworn_Sword"
"/index.php/Aegon_Blackfyre";"CHARACTER";"bornIn";"In 183AC or 184AC"
"/index.php/Aegon_Blackfyre";"CHARACTER";"diedIn";"In 196AC, at Redgrass Field"
"/index.php/Aegon_Blackfyre";"CHARACTER";"hasAllegianceWith";"/index.php/House_Blackfyre"
"/index.php/Aegon_Blackfyre";"CHARACTER";"nameIs";"Aegon Blackfyre"
"/index.php/Aegon_Frey_(Bloodborn)";"CHARACTER";"appearsIn";"/index.php/A_Clash_of_Kings"
"/index.php/Aegon_Frey_(Bloodborn)";"CHARACTER";"appearsIn";"/index.php/A_Dance_with_Dragons"
"/index.php/Aegon_Frey_(Bloodborn)";"CHARACTER";"appearsIn";"/index.php/A_Feast_for_Crows"
"/index.php/Aegon_Frey_(Bloodborn)";"CHARACTER";"appearsIn";"/index.php/A_Storm_of_Swords"
"/index.php/Aegon_Frey_(Bloodborn)";"CHARACTER";"bornIn";"In or between 253AC and 272AC"
"/index.php/Aegon_Frey_(Bloodborn)";"CHARACTER";"hasAlias";"Aegon Bloodborn"
"/index.php/Aegon_Frey_(Bloodborn)";"CHARACTER";"hasAllegianceWith";"/index.php/House_Frey"
"/index.php/Aegon_Frey_(Bloodborn)";"CHARACTER";"nameIs";"Aegon Frey (Bloodborn)"
"/index.php/Aegon_Frey_(Jinglebell)";"CHARACTER";"appearsIn";"/index.php/A_Clash_of_Kings"
"/index.php/Aegon_Frey_(Jinglebell)";"CHARACTER";"appearsIn";"/index.php/A_Feast_for_Crows"
"/index.php/Aegon_Frey_(Jinglebell)";"CHARACTER";"appearsIn";"/index.php/A_Storm_of_Swords"
"/index.php/Aegon_Frey_(Jinglebell)";"CHARACTER";"bornIn";"In or between 248AC or 249AC"
"/index.php/Aegon_Frey_(Jinglebell)";"CHARACTER";"diedIn";"In 299AC, at The Twins"
"/index.php/Aegon_Frey_(Jinglebell)";"CHARACTER";"hasAlias";"Jinglebell"
"/index.php/Aegon_Frey_(Jinglebell)";"CHARACTER";"hasAllegianceWith";"/index.php/House_Frey"
"/index.php/Aegon_Frey_(Jinglebell)";"CHARACTER";"nameIs";"Aegon Frey (Jinglebell)"
"/index.php/Aegon_I";"CHARACTER";"appearsIn";"/index.php/A_Clash_of_Kings"
"/index.php/Aegon_I";"CHARACTER";"appearsIn";"/index.php/A_Dance_with_Dragons"
"/index.php/Aegon_I";"CHARACTER";"appearsIn";"/index.php/A_Feast_for_Crows"
"/index.php/Aegon_I";"CHARACTER";"appearsIn";"/index.php/A_Game_of_Thrones"
"/index.php/Aegon_I";"CHARACTER";"appearsIn";"/index.php/A_Storm_of_Swords"
"/index.php/Aegon_I";"CHARACTER";"appearsIn";"/index.php/The_Hedge_Knight"
"/index.php/Aegon_I";"CHARACTER";"appearsIn";"/index.php/The_Mystery_Knight"
"/index.php/Aegon_I";"CHARACTER";"appearsIn";"/index.php/The_Princess_and_the_Queen"
"/index.php/Aegon_I";"CHARACTER";"appearsIn";"/index.php/The_Sworn_Sword"
"/index.php/Aegon_I";"CHARACTER";"belongsToRoyalHouse";"/index.php/House_Targaryen"
"/index.php/Aegon_I";"CHARACTER";"bornIn";"27 BC, at Dragonstone"
"/index.php/Aegon_I";"CHARACTER";"diedIn";"37AC, at Dragonstone"
"/index.php/Aegon_I";"CHARACTER";"father";"/index.php/Aerion_Targaryen"
"/index.php/Aegon_I";"CHARACTER";"father";"/index.php/Aerion_Targaryen_(son_of_Daemion)"
"/index.php/Aegon_I";"CHARACTER";"fullNameIs";"Aegon Targaryen First of His Name"
"/index.php/Aegon_I";"CHARACTER";"hasAlias";"Aegon the Conqueror"
"/index.php/Aegon_I";"CHARACTER";"hasAlias";"Aegon the Dragon"
"/index.php/Aegon_I";"CHARACTER";"hasAlias";"Aegon the Dragonlord"
"/index.php/Aegon_I";"CHARACTER";"hasIssue";"/index.php/Aenys_I_Targaryen"
"/index.php/Aegon_I";"CHARACTER";"hasIssue";"/index.php/Maegor_I_Targaryen"
"/index.php/Aegon_I";"CHARACTER";"heirIs";"/index.php/Aenys_I_Targaryen"
"/index.php/Aegon_I";"CHARACTER";"motherIs";"/index.php/Valaena_Velaryon"
"/index.php/Aegon_I";"CHARACTER";"nameIs";"Aegon I Targaryen"
"/index.php/Aegon_I";"CHARACTER";"otherTitles";"King of the Seven Kingdoms"
"/index.php/Aegon_I";"CHARACTER";"otherTitles";"Lord of Dragonstone"
"/index.php/Aegon_I";"CHARACTER";"queenIs";"/index.php/Rhaenys_Targaryen"
"/index.php/Aegon_I";"CHARACTER";"queenIs";"/index.php/Visenya_Targaryen"
"/index.php/Aegon_I";"CHARACTER";"reigned";"1AC 37AC"
"/index.php/Aegon_I";"CHARACTER";"sucessorIs";"/index.php/Aenys_I_Targaryen"
"/index.php/Aegon_II";"CHARACTER";"appearsIn";"/index.php/A_Feast_for_Crows"
"/index.php/Aegon_II";"CHARACTER";"appearsIn";"/index.php/A_Game_of_Thrones"
"/index.php/Aegon_II";"CHARACTER";"appearsIn";"/index.php/A_Storm_of_Swords"
"/index.php/Aegon_II";"CHARACTER";"appearsIn";"/index.php/The_Princess_and_the_Queen"
"/index.php/Aegon_II";"CHARACTER";"appearsIn";"/index.php/The_Rogue_Prince"
"/index.php/Aegon_II";"CHARACTER";"belongsToRoyalHouse";"/index.php/House_Targaryen"
"/index.php/Aegon_II";"CHARACTER";"bornIn";"107AC, at King's Landing"
"/index.php/Aegon_II";"CHARACTER";"diedIn";"131AC, at King's Landing"
"/index.php/Aegon_II";"CHARACTER";"father";"/index.php/Viserys_I_Targaryen"
"/index.php/Aegon_II";"CHARACTER";"fullNameIs";"Aegon II Targaryen Second of His Name"
"/index.php/Aegon_II";"CHARACTER";"hasAlias";"Aegon the Elder"
"/index.php/Aegon_II";"CHARACTER";"hasAlias";"Aegon the Usurper"
"/index.php/Aegon_II";"CHARACTER";"hasIssue";"/index.php/Jaehaera_Targaryen"
"/index.php/Aegon_II";"CHARACTER";"hasIssue";"/index.php/Jaehaerys_Targaryen_(son_of_Aegon_II)"
"/index.php/Aegon_II";"CHARACTER";"hasIssue";"/index.php/Maelor_Targaryen"
"/index.php/Aegon_II";"CHARACTER";"motherIs";"/index.php/Alicent_Hightower"
"/index.php/Aegon_II";"CHARACTER";"otherTitles";"King of the Seven Kingdoms"
"/index.php/Aegon_II";"CHARACTER";"queenIs";"/index.php/Helaena_Targaryen"
"/index.php/Aegon_II";"CHARACTER";"reigned";"129AC - 131AC"
"/index.php/Aegon_II";"CHARACTER";"sucessorIs";"/index.php/Aegon_III_Targaryen"
"/index.php/Aegon_III_Targaryen";"CHARACTER";"appearsIn";"/index.php/A_Game_of_Thrones"
"/index.php/Aegon_III_Targaryen";"CHARACTER";"appearsIn";"/index.php/A_Storm_of_Swords"
"/index.php/Aegon_III_Targaryen";"CHARACTER";"appearsIn";"/index.php/The_Hedge_Knight"
"/index.php/Aegon_III_Targaryen";"CHARACTER";"appearsIn";"/index.php/The_Princess_and_the_Queen"
"/index.php/Aegon_III_Targaryen";"CHARACTER";"appearsIn";"/index.php/The_Rogue_Prince"
"/index.php/Aegon_III_Targaryen";"CHARACTER";"belongsToRoyalHouse";"/index.php/House_Targaryen"
"/index.php/Aegon_III_Targaryen";"CHARACTER";"bornIn";"120AC, at Dragonstone"
"/index.php/Aegon_III_Targaryen";"CHARACTER";"diedIn";"157AC, at King's Landing"
"/index.php/Aegon_III_Targaryen";"CHARACTER";"father";"/index.php/Daemon_Targaryen"
"/index.php/Aegon_III_Targaryen";"CHARACTER";"fullNameIs";"Aegon of House Targaryen, the Third of His Name"
"/index.php/Aegon_III_Targaryen";"CHARACTER";"hasAlias";"Aegon the Dragonbane"
"/index.php/Aegon_III_Targaryen";"CHARACTER";"hasAlias";"Aegon the Unlucky"
"/index.php/Aegon_III_Targaryen";"CHARACTER";"hasAlias";"Aegon the Younger"
"/index.php/Aegon_III_Targaryen";"CHARACTER";"hasCulture";"Valyrian"
"/index.php/Aegon_III_Targaryen";"CHARACTER";"hasIssue";"/index.php/Baelor_I_Targaryen"
"/index.php/Aegon_III_Targaryen";"CHARACTER";"hasIssue";"/index.php/Daena_Targaryen"
"/index.php/Aegon_III_Targaryen";"CHARACTER";"hasIssue";"/index.php/Daeron_I_Targaryen"
"/index.php/Aegon_III_Targaryen";"CHARACTER";"hasIssue";"/index.php/Elaena_Targaryen"
"/index.php/Aegon_III_Targaryen";"CHARACTER";"hasIssue";"/index.php/Rhaena_Targaryen_(daughter_of_Aegon_III)"
"/index.php/Aegon_III_Targaryen";"CHARACTER";"heirIs";"/index.php/Daeron_I_Targaryen"
"/index.php/Aegon_III_Targaryen";"CHARACTER";"motherIs";"/index.php/Rhaenyra_Targaryen"
"/index.php/Aegon_III_Targaryen";"CHARACTER";"nameIs";"Aegon III Targaryen"
"/index.php/Aegon_III_Targaryen";"CHARACTER";"otherTitles";"King of the Andals, the Rhoynar, and the First Men"
"/index.php/Aegon_III_Targaryen";"CHARACTER";"otherTitles";"Lord of the Seven Kingdoms"
"/index.php/Aegon_III_Targaryen";"CHARACTER";"otherTitles";"Protector of the Realm"
"/index.php/Aegon_III_Targaryen";"CHARACTER";"queenIs";"/index.php/Daenaera_Velaryon"
"/index.php/Aegon_III_Targaryen";"CHARACTER";"queenIs";"/index.php/Jaehaera_Targaryen"
"/index.php/Aegon_III_Targaryen";"CHARACTER";"reigned";"131AC - 157AC"
"/index.php/Aegon_III_Targaryen";"CHARACTER";"sucessorIs";"/index.php/Daeron_I_Targaryen"
"/index.php/Aegon_II_Targaryen";"CHARACTER";"appearsIn";"/index.php/A_Feast_for_Crows"
"/index.php/Aegon_II_Targaryen";"CHARACTER";"appearsIn";"/index.php/A_Game_of_Thrones"
"/index.php/Aegon_II_Targaryen";"CHARACTER";"appearsIn";"/index.php/A_Storm_of_Swords"
"/index.php/Aegon_II_Targaryen";"CHARACTER";"appearsIn";"/index.php/The_Princess_and_the_Queen"
"/index.php/Aegon_II_Targaryen";"CHARACTER";"appearsIn";"/index.php/The_Rogue_Prince"
"/index.php/Aegon_II_Targaryen";"CHARACTER";"belongsToRoyalHouse";"/index.php/House_Targaryen"
